T=1.0624678308940414
# r  C(r)
0.500000 3.105000e-01
1.500000 8.955000e-01
2.500000 6.570000e-01
3.500000 1.462500e+00
4.500000 1.300500e+00
5.500000 2.142000e+00
6.500000 2.938500e+00
7.500000 3.028500e+00
8.500000 2.205000e+00
9.500000 2.767500e+00
10.500000 3.325500e+00
11.500000 2.826000e+00
12.500000 3.591000e+00
13.500000 4.126500e+00
14.500000 3.429000e+00
15.500000 3.060000e+00
16.500000 3.856500e+00
17.500000 3.721500e+00
18.500000 3.249000e+00
19.500000 4.194000e+00
20.500000 4.063500e+00
21.500000 4.432500e+00
22.500000 3.343500e+00
23.500000 3.861000e+00
24.500000 4.684500e+00
25.500000 3.987000e+00
26.500000 4.855500e+00
27.500000 4.405500e+00
28.500000 4.342500e+00
29.500000 3.681000e+00
