T=0.8337822234717891
# r  C(r)
0.500000 1.935000e-01
1.500000 6.300000e+00
2.500000 4.473000e+00
3.500000 6.178500e+00
4.500000 7.299000e+00
5.500000 6.435000e+00
6.500000 7.866000e+00
7.500000 8.383500e+00
8.500000 6.826500e+00
9.500000 8.523000e+00
10.500000 8.532000e+00
11.500000 8.077500e+00
12.500000 8.518500e+00
13.500000 8.662500e+00
14.500000 8.406000e+00
15.500000 8.869500e+00
16.500000 8.761500e+00
17.500000 8.541000e+00
18.500000 8.905500e+00
19.500000 8.950500e+00
20.500000 8.365500e+00
21.500000 8.950500e+00
22.500000 8.793000e+00
23.500000 8.649000e+00
24.500000 8.919000e+00
25.500000 8.901000e+00
26.500000 8.734500e+00
27.500000 8.820000e+00
28.500000 8.914500e+00
29.500000 8.671500e+00
