T=0.5011872336272722
# r  C(r)
0.500000 0.000000e+00
1.500000 0.000000e+00
2.500000 0.000000e+00
3.500000 0.000000e+00
4.500000 0.000000e+00
5.500000 0.000000e+00
6.500000 0.000000e+00
7.500000 0.000000e+00
8.500000 0.000000e+00
9.500000 0.000000e+00
10.500000 0.000000e+00
11.500000 0.000000e+00
12.500000 0.000000e+00
13.500000 0.000000e+00
14.500000 0.000000e+00
15.500000 0.000000e+00
16.500000 0.000000e+00
17.500000 0.000000e+00
18.500000 2.954695e-02
19.500000 0.000000e+00
20.500000 0.000000e+00
21.500000 0.000000e+00
22.500000 6.323047e-01
23.500000 7.682206e-02
24.500000 0.000000e+00
25.500000 0.000000e+00
26.500000 0.000000e+00
27.500000 0.000000e+00
28.500000 0.000000e+00
29.500000 1.418253e-01
30.500000 0.000000e+00
31.500000 1.122784e-01
32.500000 1.772817e-02
33.500000 2.777413e-01
34.500000 1.122784e-01
35.500000 3.663821e-01
36.500000 8.450427e-01
37.500000 1.240972e-01
38.500000 0.000000e+00
39.500000 0.000000e+00
40.500000 0.000000e+00
41.500000 9.986868e-01
42.500000 0.000000e+00
43.500000 5.909389e-03
44.500000 0.000000e+00
45.500000 0.000000e+00
46.500000 7.091267e-02
47.500000 6.027577e-01
48.500000 4.550230e-01
49.500000 0.000000e+00
50.500000 0.000000e+00
51.500000 0.000000e+00
52.500000 0.000000e+00
53.500000 0.000000e+00
54.500000 5.200263e-01
55.500000 0.000000e+00
56.500000 0.000000e+00
57.500000 1.772817e-02
58.500000 2.954695e-01
59.500000 7.091267e-02
